2024-12-17T13:26:02.920919-0300 ERROR | routes.py | listar_bibliotecas | Erro ao listar bibliotecas: Could not determine join condition between parent/child tables on relationship SalaDeEstudo.equipamentos - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2024-12-17T13:26:03.071282-0300 ERROR | routes.py | listar_bibliotecas | Erro ao listar bibliotecas: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[SalaDeEstudo(saladeestudo)]'. Original exception was: Could not determine join condition between parent/child tables on relationship SalaDeEstudo.equipamentos - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2024-12-17T13:26:03.227255-0300 ERROR | routes.py | listar_bibliotecas | Erro ao listar bibliotecas: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[SalaDeEstudo(saladeestudo)]'. Original exception was: Could not determine join condition between parent/child tables on relationship SalaDeEstudo.equipamentos - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2024-12-17T13:26:03.397580-0300 ERROR | routes.py | listar_bibliotecas | Erro ao listar bibliotecas: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[SalaDeEstudo(saladeestudo)]'. Original exception was: Could not determine join condition between parent/child tables on relationship SalaDeEstudo.equipamentos - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2024-12-17T13:26:03.534301-0300 ERROR | routes.py | listar_bibliotecas | Erro ao listar bibliotecas: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[SalaDeEstudo(saladeestudo)]'. Original exception was: Could not determine join condition between parent/child tables on relationship SalaDeEstudo.equipamentos - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2024-12-17T13:26:13.769970-0300 ERROR | routes.py | listar_bibliotecas | Erro ao listar bibliotecas: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[SalaDeEstudo(saladeestudo)]'. Original exception was: Could not determine join condition between parent/child tables on relationship SalaDeEstudo.equipamentos - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2024-12-17T13:26:13.989312-0300 ERROR | routes.py | listar_bibliotecas | Erro ao listar bibliotecas: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[SalaDeEstudo(saladeestudo)]'. Original exception was: Could not determine join condition between parent/child tables on relationship SalaDeEstudo.equipamentos - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2024-12-17T13:26:14.138458-0300 ERROR | routes.py | listar_bibliotecas | Erro ao listar bibliotecas: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[SalaDeEstudo(saladeestudo)]'. Original exception was: Could not determine join condition between parent/child tables on relationship SalaDeEstudo.equipamentos - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2024-12-17T13:26:14.318203-0300 ERROR | routes.py | listar_bibliotecas | Erro ao listar bibliotecas: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[SalaDeEstudo(saladeestudo)]'. Original exception was: Could not determine join condition between parent/child tables on relationship SalaDeEstudo.equipamentos - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2024-12-17T13:26:14.472527-0300 ERROR | routes.py | listar_bibliotecas | Erro ao listar bibliotecas: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[SalaDeEstudo(saladeestudo)]'. Original exception was: Could not determine join condition between parent/child tables on relationship SalaDeEstudo.equipamentos - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2024-12-17T13:31:37.949652-0300 ERROR | routes.py | listar_bibliotecas | Erro ao listar bibliotecas: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[SalaDeEstudo(saladeestudo)]'. Original exception was: Could not determine join condition between parent/child tables on relationship SalaDeEstudo.equipamentos - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
